Central,Cluster,capacity,,,,,,
HP_AILLIN,Cluster 0,7,PASADA_1,,Cluster 0,511.886,PASADA_1,103.56
HP_AUX_DEL_MAIPO,Cluster 0,5.1,PASADA_1,,,,PASADA_2,141.326
HP_BOQUIAMARGO,Cluster 0,1.1,PASADA_1,,,,PASADA_3,267
HP_CAVANCHA,Cluster 0,2.6,PASADA_1,,Cluster 1,100.727,PASADA_4,100.727
HP_CHILCO,Cluster 0,0.2,PASADA_1,,Cluster 2,91.62,PASADA_5,91.62
HP_CH_ALTO_BONITO,Cluster 0,2.5,PASADA_1,,Cluster 3,389.353,PASADA_6,264
HP_CH_EL_ATAJO,Cluster 0,1.1,PASADA_1,,Cluster 4,117.79,PASADA_7,125.353
HP_CH_LOS_LAGOS,Cluster 0,48.7,PASADA_1,,,,PASADA_8,117.79
HP_CIPRESILLOS,Cluster 0,9,PASADA_1,,,,,
HP_COSAPILLA,Cluster 0,0.5,PASADA_1,,,,,
HP_CUMPEO,Cluster 0,5.76,PASADA_1,,,,,
HP_DIGUA,Cluster 0,20,PASADA_1,,,,,
HP_DONA_HILDA,Cluster 0,0.3,PASADA_2,,BESS_ALFALFAL,reservoir,ALFALFAL+BESS,SEN
HP_DOSAL,Cluster 0,0.27,PASADA_2,,ALFALFAL,serie,ALFALFAL+BESS,SEN
HP_DOS_VALLES,Cluster 0,4.6,PASADA_2,,,,,
HP_EL_LLANO,Cluster 0,2,PASADA_2,,,,,
HP_FLORIDA_2,Cluster 0,20,PASADA_2,,,,,
HP_LAS_NIEVES,Cluster 0,6.5,PASADA_2,,,,,
HP_LA_MONTANA_1,Cluster 0,3,PASADA_2,,,,,
HP_LA_MONTANA_2,Cluster 0,1.9,PASADA_2,,,,,
HP_LIRCAY,Cluster 0,19,PASADA_2,,,,,
HP_MARIPOSAS,Cluster 0,6,PASADA_2,,,,,
HP_PUNTILLA,Cluster 0,22.2,PASADA_2,,,,,
HP_RININAHUE_2,Cluster 0,1,PASADA_2,,,,,
