Cluster,name,capacity
Cluster 2,GX_PV_CARDONES,0.0
Cluster 2,GX_PV_KIMAL,0.0
Cluster 0,GX_PV_KIMAL_BTM,0.0
Cluster 4,GX_PV_PALMONTE,0.0
Cluster 4,GX_PV_PALMONTE_BTM,0.0
Cluster 2,GX_PV_POLPAICO,0.0
Cluster 2,GX_PV_POLPAICO_BTM,0.0
Cluster 1,PV_AEROPUERTO,6.6
Cluster 1,PV_ALCALDESA,6.0
Cluster 0,PV_ALDEBARAN,6.6
Cluster 1,PV_ALGARROBO_V,3.0
Cluster 3,PV_ALHUE,6.0
Cluster 2,PV_ALICAHUE,3.0
Cluster 2,PV_ALMEYDA,52.0
Cluster 2,PV_ALTOS_DEL_PAICO,2.1
Cluster 2,PV_ALTOS_TILTIL,3.0
Cluster 2,PV_ALTO_SOLAR,3.0
Cluster 0,PV_ALTURAS_DE_OVALLE,6.0
Cluster 0,PV_AMANECER,8.8
Cluster 4,PV_AMPARO_DEL_SOL,3.0
Cluster 4,PV_ANAKENA,9.0
Cluster 2,PV_ANDES_SOLAR,21.0
Cluster 1,PV_ANGOL_SOLAR_I,3.0
Cluster 2,PV_ANTAY,9.0
Cluster 0,PV_ANTONIA,3.0
Cluster 3,PV_ANUNUCA_DEL_VERANO_SOLAR,3.0
Cluster 2,PV_ARIZTIA,2.8
Cluster 3,PV_AROMO_DEL_VERANO,3.0
Cluster 2,PV_ASTILLAS,9.0
Cluster 4,PV_ATACAMA_SOLAR_2,150.0
Cluster 1,PV_AVEL,9.0
Cluster 1,PV_AVELLANO_SOLAR,7.1
Cluster 3,PV_AVILES,8.3
Cluster 0,PV_AZABACHE,59.8
Cluster 0,PV_BELLAVISTA,3.0
Cluster 1,PV_BICENTENARIO,2.9
Cluster 1,PV_BLU_SOLAR,5.0
Cluster 2,PV_BRAMADA,9.0
Cluster 1,PV_BULNES_LOS_BARONES,3.0
Cluster 3,PV_CABILDO,9.0
Cluster 2,PV_CABILSOL,3.0
Cluster 1,PV_CABRERO,9.0
Cluster 0,PV_CACHANAS,9.0
Cluster 2,PV_CACHIYUYO_2,9.0
Cluster 2,PV_CAIMI,0.2
Cluster 0,PV_CALAMA,9.0
Cluster 2,PV_CALLE_LARGA,3.0
Cluster 2,PV_CAMPOS_DEL_SOL,375.0
Cluster 2,PV_CAMPOS_DEL_SOL_2,369.6
Cluster 0,PV_CAMPO_LINDO_BIS,2.8
Cluster 1,PV_CANCURA_2,2.8
Cluster 3,PV_CANDELARIA,3.0
Cluster 0,PV_CANELILLO,2.5
Cluster 4,PV_CANESA_1,3.0
Cluster 3,PV_CANTERA,2.9
Cluster 0,PV_CAPRICORNIO,87.9
Cluster 4,PV_CARACAS_1,9.0
Cluster 4,PV_CARACAS_2,9.0
Cluster 1,PV_CARACOLES,2.7
Cluster 2,PV_CARDONES,35.0
Cluster 2,PV_CARRERA_PINTO,90.93
Cluster 2,PV_CASABERMEJA,7.0
Cluster 4,PV_CASAS_BLANCAS,2.0
Cluster 0,PV_CASTANO,8.6
Cluster 2,PV_CASTILLA,8.6
Cluster 2,PV_CASUTO,3.0
Cluster 2,PV_CATAN,3.0
Cluster 3,PV_CATEMU,2.0
Cluster 0,PV_CEME1,480.0
Cluster 1,PV_CENTAURO_SOLAR,9.0
Cluster 4,PV_CERESUELA,9.0
Cluster 4,PV_CERES_SOLAR,9.0
Cluster 0,PV_CERRO_DOMINADOR,100.0
Cluster 0,PV_CERRO_DOMINADOR_CSP,297.0
Cluster 2,PV_CE_CALDERA,9.0
Cluster 2,PV_CE_SAN_FRANCISCO_V,7.2
Cluster 2,PV_CHACABUCO,9.0
Cluster 4,PV_CHALINGA,3.0
Cluster 2,PV_CHANARES,36.0
Cluster 2,PV_CHANCON,2.99
Cluster 2,PV_CHICAUMA_VERANO,9.0
Cluster 1,PV_CHILLAN_SOLAR_1,9.0
Cluster 1,PV_CHILLAN_SOLAR_3,9.0
Cluster 3,PV_CHIMBARONGO,3.0
Cluster 0,PV_CHIMBARONGO2,9.0
Cluster 0,PV_CHINCOL,3.0
Cluster 1,PV_CHUCAO,2.7
Cluster 4,PV_CHUCHINI,2.88
Cluster 3,PV_CINTAC,2.5
Cluster 1,PV_CIPRES,9.0
Cluster 3,PV_CITRINO,2.8
Cluster 0,PV_CKILIR,9.0
Cluster 1,PV_COCHARCAS_2,2.8
Cluster 0,PV_COCINILLAS,2.8
Cluster 1,PV_CODORNIZ,3.0
Cluster 1,PV_COIHUECO_S_C,3.0
Cluster 1,PV_COIHUECO_V_M,3.0
Cluster 3,PV_COLCHAGUA,2.7
Cluster 0,PV_COLTAUCO_ALMENDRO,2.9
Cluster 2,PV_CONCORDE_(EX_SALAR_DOS),6.0
Cluster 3,PV_CONDOR,9.0
Cluster 0,PV_CONDOR_CHEPICA_ETAPA_2,4.0
Cluster 3,PV_CONDOR_LO_CHACON_II,3.0
Cluster 3,PV_CONDOR_PELVIN,3.0
Cluster 2,PV_CONEJO,104.5
Cluster 0,PV_CORDILLERILLA,1.43
Cluster 1,PV_CORTIJO,9.0
Cluster 2,PV_COVADONGA,9.0
Cluster 0,PV_COYA,180.0
Cluster 3,PV_CRUCERO,2.8
Cluster 3,PV_CRUCERO_SOLAR,3.0
Cluster 2,PV_CRUZ_SOLAR_1,3.0
Cluster 3,PV_CURACAVI,2.7
Cluster 1,PV_CURICURA,9.0
Cluster 0,PV_CUZCUZ,3.0
Cluster 1,PV_DADINCO,3.0
Cluster 1,PV_DAGOBETO,2.9
Cluster 3,PV_DARLIN,9.0
Cluster 2,PV_DAS,8.0
Cluster 2,PV_DEL_DESIERTO,9.0
Cluster 2,PV_DIEGO_DE_ALMAGRO_SUR_1,105.0
Cluster 2,PV_DIEGO_DE_ALMAGRO_SUR_2,100.0
Cluster 2,PV_DINAMO,3.0
Cluster 0,PV_DOMEYKO,186.2
Cluster 4,PV_DONA_ANTONIA,82.1
Cluster 2,PV_DONA_CARMEN,34.542
Cluster 1,PV_DONA_VICTORIA,2.8
Cluster 0,PV_DONIHUE,7.5
Cluster 3,PV_DON_ANDRONICO,2.8
Cluster 4,PV_DON_ENRIQUE,9.0
Cluster 0,PV_DON_EUGENIO,3.0
Cluster 1,PV_DON_GERARDO,2.8
Cluster 1,PV_DON_JORGE,2.9
Cluster 0,PV_DON_MARIANO,2.8
Cluster 3,PV_DON_RENATO,3.0
Cluster 1,PV_DUQUECO_SOLAR,11.0
Cluster 2,PV_ECLIPSE_SOLAR,8.99
Cluster 0,PV_ELENA,270.0
Cluster 4,PV_EL_AGUILA,2.0
Cluster 0,PV_EL_BOCO,3.0
Cluster 1,PV_EL_CAIQUEN,9.0
Cluster 1,PV_EL_CARDENAL,3.0
Cluster 1,PV_EL_CARPINTERO,9.0
Cluster 1,PV_EL_CERNICALO,1.5
Cluster 1,PV_EL_CERNICALO_2,1.5
Cluster 1,PV_EL_CHERCAN,9.0
Cluster 0,PV_EL_CONDOR,1.324
Cluster 1,PV_EL_CUERVO,3.0
Cluster 4,PV_EL_DIVISADERO,3.0
Cluster 0,PV_EL_ESTERO,2.68126
Cluster 4,PV_EL_FARO,3.0
Cluster 1,PV_EL_FLAMENCO,9.0
Cluster 1,PV_EL_HUAPE,3.0
Cluster 2,PV_EL_LITRE_2,9.0
Cluster 0,PV_EL_MEMBRILLO,2.5
Cluster 0,PV_EL_MIRLO,9.0
Cluster 3,PV_EL_MONTE,3.0
Cluster 2,PV_EL_NANDU,3.0
Cluster 1,PV_EL_OLIVAR,11.0
Cluster 2,PV_EL_PALQUI,3.0
Cluster 1,PV_EL_PASO,6.0
Cluster 3,PV_EL_PERAL,9.0
Cluster 3,PV_EL_PILPEN,3.0
Cluster 3,PV_EL_PIQUERO,3.0
Cluster 1,PV_EL_PITIO,3.0
Cluster 1,PV_EL_PIUQUEN,3.0
Cluster 2,PV_EL_QUELTEHUE,3.0
Cluster 4,PV_EL_QUEMADO,3.0
Cluster 1,PV_EL_RACO,2.9
Cluster 0,PV_EL_RANCHILLO,9.0
Cluster 1,PV_EL_RESPLANDOR,2.8
Cluster 3,PV_EL_ROBLE,9.0
Cluster 0,PV_EL_ROMERAL,8.0
Cluster 2,PV_EL_ROMERO,196.0
Cluster 0,PV_EL_RUN_RUN,3.0
Cluster 2,PV_EL_SALVADOR,68.0
Cluster 3,PV_EL_SAUCE,3.0
Cluster 3,PV_EL_SHARON,3.0
Cluster 1,PV_EL_ZORZAL,3.0
Cluster 1,PV_EMILIO_SOLAR_I,3.0
Cluster 0,PV_ENCINA_III,6.0
Cluster 2,PV_ENCON,8.64
Cluster 1,PV_ERINOME,3.0
Cluster 3,PV_ESCORIAL_VERANO,3.0
Cluster 4,PV_ESFENA,6.0
Cluster 0,PV_ESPERANZA,2.88
Cluster 0,PV_ESPERANZA_2,9.0
Cluster 2,PV_ESTANCILLA,3.0
Cluster 0,PV_EXT_SOLAR_FINIS_TERRAE,126.2
Cluster 0,PV_EXT_SOLAR_FINIS_TERRAE_E2,18.0
Cluster 1,PV_E_TRILE,9.0
Cluster 2,PV_FALCON,2.9
Cluster 2,PV_FARAMALLA,3.0
Cluster 3,PV_FARDELA_NEGRA,3.0
Cluster 3,PV_FILOMENA,3.0
Cluster 0,PV_FINIS_TERRAE,138.0
Cluster 3,PV_FOSTER,3.0
Cluster 3,PV_FOTOVOLT,1.3
Cluster 0,PV_FRANCISCO,3.0
Cluster 1,PV_FULGOR,2.6
Cluster 2,PV_FUSTER_DEL_VERANO,9.0
Cluster 3,PV_GABARDO_DEL_VERANO_SOLAR,3.0
Cluster 4,PV_GABRIELA,9.0
Cluster 4,PV_GAVIOTIN,9.0
Cluster 1,PV_GOLONDRINAS,9.0
Cluster 1,PV_GRANADA,9.0
Cluster 4,PV_GRANATE,9.0
Cluster 4,PV_GRANJA_PV,105.0
Cluster 1,PV_GR_PITAO,7.4
Cluster 2,PV_GUADALAO,3.0
Cluster 2,PV_GUADALUPE,3.0
Cluster 3,PV_GUANACO_1,3.0
Cluster 2,PV_GUARANA,3.0
Cluster 3,PV_HOMERO,3.0
Cluster 0,PV_HORMIGA,2.54
Cluster 0,PV_HORNITOS,0.35
Cluster 1,PV_HUAPE,2.8
Cluster 4,PV_HUAQUELON,9.0
Cluster 4,PV_HUATACONDO,98.0
Cluster 2,PV_ICB,0.3
Cluster 0,PV_IDAHUE_DEL_VERANO,3.0
Cluster 4,PV_ILLAPEL_5,3.0
Cluster 1,PV_IMPERIAL_SOLAR,9.0
