Cluster,name,capacity,,,,,
Cluster 0,PV_LAS_ARAUCARIAS,0.14,SOLAR_1,,Cluster 0,1076.86776,SOLAR_1
Cluster 0,PV_TECHOS_DE_ALTAMIRA,0.15,SOLAR_1,,Cluster 1,1009.1,SOLAR_2
Cluster 0,PV_HORNITOS,0.35,SOLAR_1,,Cluster 2,933.2,SOLAR_3
Cluster 0,PV_PILOTO_CARDONES,0.4,SOLAR_1,,Cluster 3,1055.3,SOLAR_4
Cluster 0,PV_NILHUE,1.1,SOLAR_1,,Cluster 4,841.11,SOLAR_5
Cluster 0,PV_SDGX01,1.258,SOLAR_1,,Cluster 5,1032.122,SOLAR_6
Cluster 0,PV_EL_CONDOR,1.324,SOLAR_1,,Cluster 6,1070.96,SOLAR_7
Cluster 0,PV_CORDILLERILLA,1.43,SOLAR_1,,Cluster 7,820.759,SOLAR_8
Cluster 0,PV_PAMA,1.99,SOLAR_1,,Cluster 8,776.2,SOLAR_9
Cluster 0,PV_LOMAS_COLORADAS,2,SOLAR_1,,Cluster 9,940.6,SOLAR_10
Cluster 0,PV_LOS_LAGOS_X,2.2,SOLAR_1,,Cluster 10,718.25,SOLAR_11
Cluster 0,PV_CANELILLO,2.5,SOLAR_1,,Cluster 11,1271.546,SOLAR_12
Cluster 0,PV_EL_MEMBRILLO,2.5,SOLAR_1,,Cluster 12,0,SOLAR_13
Cluster 0,PV_HORMIGA,2.54,SOLAR_1,,,,
Cluster 0,PV_LUDERS,2.6,SOLAR_1,,,,
Cluster 0,PV_EL_ESTERO,2.68126,SOLAR_1,,,,
Cluster 0,PV_CAMPO_LINDO_BIS,2.8,SOLAR_1,,,,
Cluster 0,PV_COCINILLAS,2.8,SOLAR_1,,,,
Cluster 0,PV_DON_MARIANO,2.8,SOLAR_1,,,,
Cluster 0,PV_LAS_CABRAS,2.8,SOLAR_1,,,,
Cluster 0,PV_LAS_MOLLACAS,2.8,SOLAR_1,,,,
Cluster 0,PV_LA_CHIMBA_BIS,2.8,SOLAR_1,,,,
Cluster 0,PV_PMGD_COINCO,2.8,SOLAR_1,,,,
Cluster 0,PV_ESPERANZA,2.88,SOLAR_1,,,,
Cluster 0,PV_COLTAUCO_ALMENDRO,2.9,SOLAR_1,,,,
Cluster 0,PV_TAMBO_REAL,2.93,SOLAR_1,,,,
