Cluster,name,capacity
Cluster 3,GX_W_CAUTIN,0.0
Cluster 1,GX_W_CHARRUA,0.0
Cluster 3,GX_W_CHILOE,0.0
Cluster 1,GX_W_CONCEPCION,0.0
Cluster 4,GX_W_KIMAL,0.0
Cluster 2,GX_W_MAITENCILLO,0.0
Cluster 0,GX_W_PARINAS,0.0
Cluster 3,GX_W_PICHIRROPULLI,0.0
Cluster 1,GX_W_RIO_MALLECO_500,0.0
Cluster 0,W_ALENA,84.0
Cluster 2,W_ATACAMA,165.0
Cluster 3,W_AURORA,126.4
Cluster 2,W_CABO_LEONES_1,175.5
Cluster 2,W_CABO_LEONES_2_F1,204.0
Cluster 2,W_CABO_LEONES_3,188.1
Cluster 4,W_CALAMA_EOE1,100.0
Cluster 4,W_CALAMA_EOE2,50.0
Cluster 3,W_CAMAN,145.7
Cluster 3,W_CAMAN_2,60.0
Cluster 1,W_CAMPO_LINDO,73.1
Cluster 2,W_CANELA,18.15
Cluster 2,W_CANELA_2,60.0
Cluster 0,W_CARDONAL,30.0
Cluster 0,W_CERRILLOS,48.0
Cluster 4,W_CERRO_TIGRE,184.8
Cluster 4,W_CKANI,107.2
Cluster 3,W_COLINAS,188.0
Cluster 1,W_CUEL,33.0
Cluster 0,W_EDF_MAQUI,91.0
Cluster 0,W_EDF_WAYRA,296.0
Cluster 2,W_EL_ARRAYAN,115.0
Cluster 3,W_EL_ARREBOL,9.0
Cluster 3,W_EL_CRUCE,3.0
Cluster 1,W_EL_MAITEN,9.0
Cluster 1,W_EL_NOGAL,9.0
Cluster 1,W_ENTRE_RIOS,185.0
Cluster 3,W_EOLICO_LONCALHUE,188.0
Cluster 3,W_EOLICO_SAN_ANDRES,130.0
Cluster 0,W_HORIZONTE,778.0
Cluster 3,W_HUAJACHE,6.0
Cluster 3,W_LAS_PENAS,8.0
Cluster 1,W_LA_ESPERANZA,10.5
Cluster 0,W_LA_ESTRELLA,50.0
Cluster 1,W_LA_FLOR,32.4
Cluster 3,W_LEBU,6.5
Cluster 3,W_LEBU_2,3.47
Cluster 3,W_LEBU_3,5.25
Cluster 4,W_LLANOS_DEL_VIENTO,156.1
Cluster 1,W_LOMAS_DE_DUQUECO,57.4
Cluster 3,W_LOMA_VERDE,173.6
Cluster 1,W_LOS_BUENOS_AIRES,24.0
Cluster 2,W_LOS_CURUROS,109.6
Cluster 0,W_LOS_OLMOS,100.0
Cluster 3,W_MALLECO,135.1
Cluster 3,W_MALLECO_2,137.9
Cluster 0,W_MANANTIALES,24.0
Cluster 0,W_MESAMAVIDA,60.0
Cluster 2,W_MONTE_REDONDO,48.0
Cluster 1,W_NEGRETE_E1,36.0
Cluster 3,W_OCHS,2.9
Cluster 0,W_PAMPAS,120.0
Cluster 3,W_PUELCHE_SUR,152.4
Cluster 2,W_PUNTA_DE_TALCA,86.4
Cluster 2,W_PUNTA_PALMERAS,45.0
Cluster 2,W_PUNTA_SIERRA,82.0
Cluster 0,W_P_COLORADA,20.0
Cluster 3,W_RAKI,9.0
Cluster 1,W_RENAICO,88.0
Cluster 1,W_RENAICO_2,144.0
Cluster 1,W_RINCONADA,258.0
Cluster 1,W_SAN_GABRIEL,183.0
Cluster 2,W_SAN_JUAN,184.8
Cluster 1,W_SAN_MATIAS,73.0
Cluster 3,W_SAN_PEDRO,36.0
Cluster 3,W_SAN_PEDRO_2,65.0
Cluster 2,W_SARCO,168.8
Cluster 4,W_SIERRA_GORDA,112.0
Cluster 2,W_TALINAY_ORIENTE,90.0
Cluster 2,W_TALINAY_PONIENTE,60.6
Cluster 0,W_TALTAL,99.0
Cluster 4,W_TCHAMA,155.4
Cluster 1,W_TOLPAN_SUR,84.0
Cluster 2,W_TOTORAL,46.0
Cluster 0,W_UCUQUER,6.965
Cluster 0,W_UCUQUER_2,10.185
Cluster 4,W_VALLE_DE_LOS_VIENTOS,90.0
Cluster 4,W_VIENTOS_DEL_LOA_CALAMA_C,204.0
