Central,Cluster,capacity,,,,
ALLIPEN,PASADA_1,2.67,,,PASADA_1,66.404
ALTO_HOSPICIO,PASADA_1,1.1,,,PASADA_2,100.62
ALTO_RENAICO,PASADA_1,1.5,,,PASADA_3,100.76
BIFURCADA,PASADA_1,0.24,,,PASADA_4,153.1075
CALIBORO,PASADA_1,1.35,,,PASADA_5,136
CARENA,PASADA_1,10,,,PASADA_6,106.96
CONTRA,PASADA_1,0.33,,,PASADA_7,264
CURILEUFU,PASADA_1,0.221,,,PASADA_8,267
DONGUIL,PASADA_1,0.25,,,PASADA_9,126.004
EL_GALPON,PASADA_1,1.3,,,,
EL_MANZANO,PASADA_1,4.85,,,,
EL_RINCON,PASADA_1,0.3,,,,
EL_TORO_N2,PASADA_1,1.1,,,,
FLORIDA_3,PASADA_1,2.5,,,,
GUAYACAN,PASADA_1,12,,,,
LAS_VERTIENTES,PASADA_1,1.66,,,,
LA_VINA,PASADA_1,0.552,,,,
LOS_BAJOS,PASADA_1,5.601,,,,
LOS_MORROS,PASADA_1,2.6,,,,
LOS_PADRES,PASADA_1,0.22,,,,
MALLARAUCO,PASADA_1,3.4,,,,
MELO,PASADA_1,2.97,,,,
PICHILONCO,PASADA_1,1.2,,,,
RENAICO,PASADA_1,6.24,,,,
RININAHUE,PASADA_1,0.9,,,,
SANTA_ROSA,PASADA_1,0.5,,,,
TRUFUL,PASADA_1,0.85,,,,
CAPULLO,PASADA_2,12,,,,
CHANLEUFU,PASADA_2,3.4,,,,
COLLIL,PASADA_2,7,,,,
CONVENTO_VIEJO,PASADA_2,16,,,,
DONGO,PASADA_2,6,,,,
DON_WALTERIO,PASADA_2,2.95,,,,
EL_ARRAYAN,PASADA_2,0.15,,,,
EL_COLORADO,PASADA_2,2,,,,
EL_PINAR,PASADA_2,11.4,,,,
ENSENADA,PASADA_2,6.6,,,,
HIDRO_BONITO_MC1,PASADA_2,9,,,,
LA_ARENA,PASADA_2,3,,,,
LOS_CORRALES_1,PASADA_2,0.845,,,,
MARIA_ELENA,PASADA_2,0.305,,,,
MOLINERA_VILLARRICA,PASADA_2,0.6,,,,
MSA_1,PASADA_2,3,,,,
PEHUI,PASADA_2,1.1,,,,
PULELFU,PASADA_2,9,,,,
PURISIMA,PASADA_2,0.42,,,,
RECA,PASADA_2,1.6,,,,
SANTA_ISABEL,PASADA_2,1.35,,,,
TRANQUIL,PASADA_2,2.9,,,,
AILLIN,PASADA_3,7,,,,
AUX_DEL_MAIPO,PASADA_3,5.1,,,,
BOQUIAMARGO,PASADA_3,1.1,,,,
CARILAFQUEN,PASADA_3,19.8,,,,
CAVANCHA,PASADA_3,2.6,,,,
CH LOS LAGOS,PASADA_3,48.7,,,,
CIPRESILLOS,PASADA_3,9,,,,
COSAPILLA,PASADA_3,0.5,,,,
CUMPEO,PASADA_3,5.76,,,,
EL_ATAJO,PASADA_3,1.2,,,,
FLORIDA_2,PASADA_4,20,,,,
HP PANGAL,PASADA_4,36.9075,,,,
LAS_NIEVES,PASADA_4,6.5,,,,
LIRCAY,PASADA_4,19,,,,
MARIPOSAS,PASADA_4,6,,,,
PUNTILLA,PASADA_4,22.2,,,,
RIO_COLORADO,PASADA_4,16.5,,,,
SAUZALITO,PASADA_4,12,,,,
VOLCAN,PASADA_4,14,,,,
Nuble,PASADA_5,136,,,,
BUREO,PASADA_6,2.2,,,,
EL_AGRIO,PASADA_6,2.51,,,,
EL_CANELO,PASADA_6,6.08,,,,
EL_MIRADOR,PASADA_6,3,,,,
ITATA,PASADA_6,20,,,,
LA_MONTANA_1,PASADA_6,3,,,,
LA_MONTANA_2,PASADA_6,1.9,,,,
LLAUQUEREO,PASADA_6,1.755,,,,
LOS_CORRALES_2,PASADA_6,1.035,,,,
MAISAN,PASADA_6,0.59,,,,
MALALCAHUELLO,PASADA_6,9.2,,,,
MULCHEN,PASADA_6,3,,,,
MUNILQUE_1,PASADA_6,0.55,,,,
MUNILQUE_2,PASADA_6,0.55,,,,
NALCAS,PASADA_6,6.8,,,,
PICOIQUEN,PASADA_6,19.2,,,,
PIUTEL,PASADA_6,0.54,,,,
PROVIDENCIA,PASADA_6,14,,,,
RIO_TRUENO,PASADA_6,5.8,,,,
SANTA_ELENA,PASADA_6,2.75,,,,
TRAILELFU,PASADA_6,2.5,,,,
ALFALFAL_2,PASADA_7,264,,,,
LAS_LAJAS,PASADA_8,267,,,,
ANCOA,PASADA_9,28.8,,,,
CALLAO,PASADA_9,3.3,,,,
CHAPIQUINA,PASADA_9,9.91,,,,
CORRALES,PASADA_9,3,,,,
CORRENTOSO,PASADA_9,8,,,,
CUMBRES,PASADA_9,19,,,,
DONA_HILDA,PASADA_9,0.42,,,,
DOSAL,PASADA_9,0.27,,,,
DOS_VALLES,PASADA_9,4.6,,,,
EL_LLANO,PASADA_9,2,,,,
EL_TARTARO,PASADA_9,0.104,,,,
EYZAGUIRRE,PASADA_9,2.1,,,,
FLORIDA_1,PASADA_9,6,,,,
HIDRO_BONITO_MC2,PASADA_9,3.2,,,,
LAS_FLORES,PASADA_9,1.6,,,,
LA_COMPANIA_II,PASADA_9,5,,,,
LA_PALOMA,PASADA_9,4.6,,,,
MUCHI,PASADA_9,1,,,,
PALACIOS,PASADA_9,3,,,,
PALMAR,PASADA_9,8,,,,
PUCLARO,PASADA_9,5.6,,,,
RIO_HUASCO,PASADA_9,5.1,,,,
SAUCEANDES,PASADA_9,1.4,,,,
