,X,Y,Generadores,Cluster
0,-1.51887,18.73626,AILLIN,Cluster 1
1,-11.8006,4.263794,ALFALFAL_2,Cluster 4
2,11.968967,26.02861,ALLIPEN,Cluster 2
3,12.294399,31.960579,ALTO_HOSPICIO,Cluster 2
4,9.431801,21.31737,ALTO_RENAICO,Cluster 2
5,-8.803531,6.975588,ANCOA,Cluster 4
6,-1.6164368,10.8245125,AUX_DEL_MAIPO,Cluster 1
7,17.283617,23.728233,BIFURCADA,Cluster 2
8,-0.20535772,2.0332072,BOQUIAMARGO,Cluster 1
9,0.55208796,-7.3655286,BUREO,Cluster 3
10,10.720876,22.40387,CALIBORO,Cluster 2
11,-13.237252,-6.7916603,CALLAO,Cluster 4
12,-2.3097243,-19.25511,CAPULLO,Cluster 0
13,10.796354,20.816038,CARENA,Cluster 2
14,7.8522844,14.59459,CARILAFQUEN,Cluster 1
15,0.29126173,18.788872,CAVANCHA,Cluster 1
16,-0.84391636,16.335217,CH LOS LAGOS,Cluster 1
17,8.77311,-20.320436,CHANLEUFU,Cluster 0
18,-18.90315,-1.9540886,CHAPIQUINA,Cluster 4
19,-0.31062153,8.038105,CIPRESILLOS,Cluster 1
20,0.06343337,-23.24504,COLLIL,Cluster 0
21,18.174477,19.120548,CONTRA,Cluster 2
22,-4.8530927,-22.33532,CONVENTO_VIEJO,Cluster 0
23,-16.906885,-0.88340545,CORRALES,Cluster 4
24,-18.328196,0.9008219,CORRENTOSO,Cluster 4
25,-0.8934201,17.691252,COSAPILLA,Cluster 1
26,-18.615341,-0.541547,CUMBRES,Cluster 4
27,-0.28751206,3.3957834,CUMPEO,Cluster 1
28,16.972448,19.220652,CURILEUFU,Cluster 2
29,-13.024494,-1.3469309,DONA_HILDA,Cluster 4
30,1.0292511,-23.529213,DONGO,Cluster 0
31,11.25807,27.11217,DONGUIL,Cluster 2
32,6.496573,-21.855623,DON_WALTERIO,Cluster 0
33,-10.506996,7.4520288,DOSAL,Cluster 4
34,-10.037861,8.43005,DOS_VALLES,Cluster 4
35,-6.756874,-8.270933,EL_AGRIO,Cluster 3
36,5.3251467,-22.012459,EL_ARRAYAN,Cluster 0
37,-2.347107,17.024818,EL_ATAJO,Cluster 1
38,-7.994556,-9.509693,EL_CANELO,Cluster 3
39,-0.67639446,-24.977964,EL_COLORADO,Cluster 0
40,15.148173,27.688225,EL_GALPON,Cluster 2
41,-6.722967,5.5960765,EL_LLANO,Cluster 4
42,8.563596,19.0826,EL_MANZANO,Cluster 2
43,1.5499693,-10.011765,EL_MIRADOR,Cluster 3
44,6.1073475,-20.540674,EL_PINAR,Cluster 0
45,12.036079,24.123108,EL_RINCON,Cluster 2
46,-13.51564,0.5559082,EL_TARTARO,Cluster 4
47,5.355057,21.973022,EL_TORO_N2,Cluster 2
48,1.3627046,-22.016567,ENSENADA,Cluster 0
49,-14.801629,2.3141775,EYZAGUIRRE,Cluster 4
50,-20.255152,-0.734773,FLORIDA_1,Cluster 4
51,-1.1819816,6.4100685,FLORIDA_2,Cluster 1
52,13.15252,24.83527,FLORIDA_3,Cluster 2
53,11.98052,16.342043,GUAYACAN,Cluster 2
54,1.2964321,-18.914255,HIDRO_BONITO_MC1,Cluster 0
55,-13.173241,-5.3309927,HIDRO_BONITO_MC2,Cluster 4
56,0.37366048,17.210775,HP PANGAL,Cluster 1
57,-3.193201,-11.438704,ITATA,Cluster 3
58,-11.208881,-6.5515957,LAS_FLORES,Cluster 4
59,-10.560069,5.399766,LAS_LAJAS,Cluster 4
60,-0.632802,11.887491,LAS_NIEVES,Cluster 1
61,12.571009,27.73295,LAS_VERTIENTES,Cluster 2
62,9.345881,-21.31539,LA_ARENA,Cluster 0
63,-14.9900465,-0.4735567,LA_COMPANIA_II,Cluster 4
64,0.5119862,0.027599929,LA_MONTANA_1,Cluster 3
65,1.4668698,-0.48641643,LA_MONTANA_2,Cluster 3
66,-9.514029,-0.103801325,LA_PALOMA,Cluster 4
67,17.489683,22.81097,LA_VINA,Cluster 2
68,1.2118235,9.365875,LIRCAY,Cluster 1
69,-5.5843797,-9.791841,LLAUQUEREO,Cluster 3
70,12.619053,22.31223,LOS_BAJOS,Cluster 2
71,-0.5982386,-18.22357,LOS_CORRALES_1,Cluster 0
72,-2.8493195,-14.753378,LOS_CORRALES_2,Cluster 3
73,11.742775,15.86874,LOS_MORROS,Cluster 2
74,11.467788,30.776808,LOS_PADRES,Cluster 2
75,-5.357199,-15.049541,MAISAN,Cluster 3
76,3.152261,-8.898256,MALALCAHUELLO,Cluster 3
77,9.4918585,26.138945,MALLARAUCO,Cluster 2
78,6.8507614,-23.708473,MARIA_ELENA,Cluster 0
79,1.7730986,10.161077,MARIPOSAS,Cluster 1
80,9.124746,22.901224,MELO,Cluster 2
81,-3.5007262,-18.436016,MOLINERA_VILLARRICA,Cluster 0
82,5.419735,-25.219778,MSA_1,Cluster 0
83,-11.845313,-7.715498,MUCHI,Cluster 4
84,0.24072944,-8.889887,MULCHEN,Cluster 3
85,2.0617855,-7.2510257,MUNILQUE_1,Cluster 3
86,1.5022883,-8.258775,MUNILQUE_2,Cluster 3
87,-9.863091,-7.8989615,NALCAS,Cluster 3
88,1.3224808,-5.5634704,Nuble,Cluster 3
89,-16.758535,0.33169872,PALACIOS,Cluster 4
90,-14.503227,-5.817081,PALMAR,Cluster 4
