Cluster,name,capacity
SOLAR_1,AEROPUERTO_FV,5.5
SOLAR_1,ALGARROBO_V_FV,3
SOLAR_1,ALTOS_TILTIL_FV,3
SOLAR_1,ARGOMEDO_FV,8
SOLAR_1,CACHIYUYO_FV,9
SOLAR_1,CASABERMEJA_FV,9
SOLAR_1,CHANCON_FV,2.99
SOLAR_1,CHIMBARONGO_NIEBLAFV,9
SOLAR_1,CHINCOL_FV,3
SOLAR_1,CINTAC_FV,2.5
SOLAR_1,CITRINO_FV,2.8
SOLAR_1,CONDOR_PELVIN_FV,3
SOLAR_1,CURACAVI_FV,2.7
SOLAR_1,CURICURA_FV,9
SOLAR_1,DON_MARIANO_FV,2.8
SOLAR_1,EL_CONDOR_FV,1.3
SOLAR_1,EL_CUERVO_FV,3
SOLAR_1,EL_FLAMENCO_FV,9
SOLAR_1,EL_PASO_FV,6
SOLAR_1,EL_PILPEN_FV,3
SOLAR_1,EL_PITIO_FV,3
SOLAR_1,EL_QUELTEHUE_FV,3
SOLAR_1,EL_ROMERAL_FV,8
SOLAR_1,EL_ZORZAL_FV,3
SOLAR_1,ERINOME_FV,2.9
SOLAR_1,El_MEMBRILLO_FV,2.5
SOLAR_1,FRANCISCO_FV,3
SOLAR_1,HOMERO_FV,3
SOLAR_1,HORMIGA_FV,2.54
SOLAR_1,J_SOLER_M_FV,1.33
SOLAR_1,LAS_ARAUCARIAS_FV,0.14
SOLAR_1,LAS_CODORNICES_FV,3
SOLAR_1,LAS_PERDICES_FV,3
SOLAR_1,LAS_TERRAZAS_FV,3
SOLAR_1,LA_ACACIA_FV,8.5
SOLAR_1,LA_QUINTA_FV,3
SOLAR_1,LEMU_FV,5
SOLAR_1,LIPANGUE_FV,3
SOLAR_1,LOICA_FV,3
SOLAR_1,LOMA_LOS_COLORADOS_FV,0.8
SOLAR_1,LOS_GIRASOLES_FV,2.96
SOLAR_1,LOS_GORRIONES_FV,3
SOLAR_1,LOS_TORDOS_FV,5
SOLAR_1,LO_BOZA_FV,0.8
SOLAR_1,LUDERS_FV,2.6
SOLAR_1,MACHICURA_FV,9
SOLAR_1,MALAQUITA_SOLAR_FV,9
SOLAR_1,NANCAGUA_FV,6
SOLAR_1,NAZARINO_VERANO_FV,3
SOLAR_1,NILHUE_FV,1.1
SOLAR_1,OVEJERIA_FV,9
SOLAR_1,PANGUILEMO_FV,2.9
SOLAR_1,PARAGUAY_FV,9
SOLAR_1,PEQUEN_FV,2.9
SOLAR_1,PERALILLO_FV,2.9
SOLAR_1,PIDUCO_FV,3
SOLAR_1,PIRQUE_FV,2.8
SOLAR_1,PLACILLA_FV,9
SOLAR_1,PORVENIR_FV,2.5
SOLAR_1,PUENTE_FV,3
SOLAR_1,QUILAPILUN_FV,103.2
SOLAR_1,QUINANTU_FV,9
SOLAR_1,RANGUIL_FV,2.8
SOLAR_1,RAULI_FV,9
SOLAR_1,RAUQUEN_FV,9
SOLAR_1,RCU_FV,6
SOLAR_1,ROMERO_FV,9
SOLAR_1,ROVIAN_FV,7
SOLAR_1,SANTA_CAROLINA_FV,3
SOLAR_1,SANTA_FE_FV,9
SOLAR_1,SANTIAGO_SOLAR_FV,90.83
SOLAR_1,SAN_CAMILO_FV,3
SOLAR_1,SAN_FRANCISCO_FV,3
SOLAR_1,SAN_ISIDRO_FV,3
SOLAR_1,SOL_DE_SEPTIEMBRE_FV,9
SOLAR_1,TALCA_FV,9
SOLAR_1,TECHOS_DE_ALTAMIRA_FV,0.15
SOLAR_1,TECHOS_WATTS_FV,0.9
SOLAR_1,TENO_FV,7.4
SOLAR_1,TENO_UNO_FV,9
SOLAR_1,TIL_TIL_FV,3
SOLAR_1,UTFSM_SAN_JOAQUIN_FV,0.1
SOLAR_1,UTFSM_VITACURA_FV,0.1
SOLAR_1,VALLE_DE_LA_LUNA_2_FV,3
SOLAR_1,VALLE_SOLAR_ESTE_FV,9
SOLAR_1,VALLE_SOLAR_OESTE_FV,9
SOLAR_1,VILLA_ALEGRE_FV,9
SOLAR_1,VILLA_CRUZ_7_FV,2.95
SOLAR_1,VILLA_CRUZ_FV,3
SOLAR_10,LA_HUELLA_FV,87
SOLAR_10,LA_LIGUA_FV,3
SOLAR_10,LA_MURALLA_FV,2.5
SOLAR_10,LINGUE_FV,3
SOLAR_10,LITRE_FV,3
SOLAR_10,LLANO_DE_LLAMPOS_FV,95
SOLAR_10,LLAY_LLAY_FV,9
SOLAR_10,LORETO_FV,2.97
SOLAR_10,LOS_LAGOS_X_FV,2.2
SOLAR_10,LOS_LOROS_FV,50
SOLAR_10,LOS_PALTOS_FV,2.5
SOLAR_10,LOS_PERALES_FV,3
SOLAR_10,LO_MIRANDA_FV,6
SOLAR_10,LUZ_DEL_NORTE_FV,141
SOLAR_10,Lascar,65
SOLAR_10,MALGARIDA_1_FV,28
SOLAR_10,MALGARIDA_2_FV,162.7
SOLAR_10,MARIA_ELENA_FV,67.71
SOLAR_10,MELI_FV,9
SOLAR_10,MITCHI_FV,9
SOLAR_11,MONTT_SOLAR_FV,3
SOLAR_11,NUEVO_QUILLAGUA_FV,100
SOLAR_11,PAINE_FV,9
SOLAR_11,PALMILLA_CRUZ_FV,9
SOLAR_11,PAMPA_CAMARONES_FV,6
SOLAR_11,PAMPA_SOLAR_NORTE_FV,69
SOLAR_11,PASTRAN_FV,9
SOLAR_11,PENAFLOR_1_FV,9
SOLAR_11,PEPA_SOLAR_1_FV,9
SOLAR_11,PFV Las Cachanas,9
SOLAR_11,PF_Quillagua,90
