Cluster,name,capacity,,,,,
SOLAR_1,ABASTIBLE_CONCON_FV,0.1,,,,Cluster 0,0
SOLAR_1,ALIANZA_FV,9,,,,Cluster 1,0
SOLAR_1,AMANECER_FV,7,,,,Cluster 2,0
SOLAR_1,ARMAZONES_FV,5,,,,Cluster 3,0
SOLAR_1,ASTILLAS_FV,9,,,,Cluster 4,0
SOLAR_1,BECACINA_FV,3,,,,Cluster 5,0
SOLAR_1,BOLERO_1_FV,135.7,,,,Cluster 6,0
SOLAR_1,BRAMADA_FV,9,,,,,
SOLAR_1,CAIMI_FV,0.2,,,EOLICO_1,,
SOLAR_1,CALDERAZA_FV,9,,,,SOLAR_1,1083.6
SOLAR_1,CALDERA_FV,9,,,,SOLAR_2,1901
SOLAR_1,CALEU_FV,9,,,,SOLAR_3,1124.3
SOLAR_1,CASTILLA_FV,2.8,,,,SOLAR_4,918
SOLAR_1,CHANAR_VERANO_FV,3,,,,SOLAR_5,1040.611
SOLAR_1,CHEQUEN_FV,9,,,,SOLAR_6,1037.604
SOLAR_1,CHICAUMA_VERANO_FV,9,,,,SOLAR_7,615.163
SOLAR_1,COLINA_FV,9,,,,SOLAR_8,711.54
SOLAR_1,CONCORDE_FV,6,,,,SOLAR_9,1103.099
SOLAR_1,CONDOR_PETORCA_FV,3,,,,SOLAR_10,1090.705
SOLAR_1,CORSO_FV,9,,,,SOLAR_11,978.87
SOLAR_1,COVADONGA_FV,9,,,,SOLAR_12,977.3
SOLAR_1,COYA_FV,180,,,,SOLAR_13,1012.21
SOLAR_1,DIEGO_ALMAGRO_SUR_FV,205,,,,SOLAR_14,1115.8901
SOLAR_1,DIEGO_DE_ALMAGRO_2_FV,9,,,,SOLAR_15,1019.336
SOLAR_1,DONA_BERTA_FV,2.8,,,,SOLAR_16,728.13
SOLAR_1,DONA_RUBENA_FV,3,,,,SOLAR_17,719.07
SOLAR_1,Don Carlos,196,,,,SOLAR_18,2033.5
SOLAR_1,ELENA_FV,67.5,,,,SOLAR_19,1676.5
SOLAR_1,EL_HALCON_FV,3,,,,SOLAR_20,7797.5
SOLAR_1,EL_MANZANO_2_FV,6,,,,SOLAR_21,0
SOLAR_1,EL_NANDU_FV,3,,,,SOLAR_22,0
SOLAR_1,EL_PELICANO_CERRILLOS_FV,3,,,,SOLAR_23,0
SOLAR_1,EL_TURPIAL_FV,3,,,,,
SOLAR_1,ENAMI_FV,5.4,,,,,
SOLAR_1,ESCORIAL_VERANO_FV,3,,,,,
SOLAR_1,ESTANCILLA_FV,2.9,,,,,
SOLAR_1,FINIS_TERRAE_2_FV,126.2,x,,,,
SOLAR_2,FINIS_TERRAE_E2_FV,18,,,,,
SOLAR_2,FITO_3_FV,3,,,,,
SOLAR_2,FOSTER_FV,3,,,,,
SOLAR_2,FUSTER_DEL_VERANO_FV,9,,,,,
