Cluster,name,capacity
Cluster 3,ALENA_EO,84.0
Cluster 3,ATACAMA_EO,165.3
Cluster 3,AURORA_EO,126.6
Cluster 3,CABO_LEONES_1_EO,181.15
Cluster 3,CABO_LEONES_2_EO,205.7
Cluster 3,CABO_LEONES_3_EO,188.274
Cluster 2,CALAMA_AMP_EO,12.0
Cluster 2,CALAMA_EO,150.0
Cluster 2,CAMAN_EO,145.7
Cluster 0,CAMPO_LINDO_EO,67.4
Cluster 3,CANELA_2_EO,60.0
Cluster 3,CANELA_EO,18.15
Cluster 3,CARDONAL_EO,32.9
Cluster 2,CH1_BUTALCURA_EO,9.0
Cluster 2,CH2_BUTALCURA_EO,9.0
Cluster 0,CKHURI_EO,107.2
Cluster 3,CUEL_EO,33.0
Cluster 2,Cerro_Tigre_EO,184.8
Cluster 3,EL_ARRAYAN_EO,115.0
Cluster 3,EL_ARREBOL_EO,9.0
Cluster 2,EL_CRUCE_EO,2.9
Cluster 3,EL_MAITEN_EO,9.0
Cluster 3,EL_NOGAL_EO,9.0
Cluster 0,Eolica_Cautin01,81.0
Cluster 0,Eolica_Cautin02,206.5
Cluster 2,Eolica_Chiloe02,40.0
Cluster 2,Eolica_Chiloe03,13.5
Cluster 2,Eolica_Chuquicamata01,341.0
Cluster 2,Eolica_Chuquicamata02,53.0
Cluster 2,Eolica_Chuquicamata03,93.5
Cluster 3,Eolica_Lpalmas02,709.5
Cluster 0,Eolica_Mulchen01,142.0
Cluster 0,Eolica_Mulchen07,290.0
Cluster 2,Eolica_PMontt01,265.5
Cluster 3,Eolica_Pazucar01,984.5
Cluster 2,Eolica_Pichirropulli01,66.5
Cluster 2,Eolica_Pichirropulli04,52.5
Cluster 3,Eolica_Quillota01,59.0
Cluster 2,Eolica_Rahue01,125.5
Cluster 2,Eolica_Rahue02,382.0
Cluster 2,Eolica_Valdivia01,58.5
Cluster 2,Eolica_Valdivia02,139.0
Cluster 2,Eolica_Valdivia03,110.5
Cluster 2,Eolica_Valdivia04,84.0
Cluster 2,Eolica_Valdivia11,0.0
Cluster 1,HORIZONTE_EO,821.0
Cluster 3,HUAJACHE_EO,6.0
Cluster 3,LAS_PENAS_EO,8.0
Cluster 0,LA_CABANA_E1F1_EO,47.0
Cluster 0,LA_CABANA_E1F2_EO,57.0
Cluster 3,LA_ESPERANZA_EO,10.5
Cluster 3,LA_ESTRELLA_EO,50.0
Cluster 3,LA_FLOR_EO,32.4
Cluster 3,LEBU_3_EO,5.25
Cluster 3,LEBU_EO,9.34
Cluster 0,LEBU_NORTE_EO,9.0
Cluster 3,LLANOS_DEL_VIENTO_EO,156.1
Cluster 0,LOMAS_DE_DUQUECO_EO,57.4
Cluster 4,LOMAS_TALTAL_EO,342.0
Cluster 3,LOS_BUENOS_AIRES_EO,24.0
Cluster 3,LOS_CURUROS_EO,107.7
Cluster 0,LOS_OLMOS_EO,100.0
Cluster 3,Loncualhue,187.0
Cluster 0,MALLECO_NORTE_EO,137.9
Cluster 0,MALLECO_SUR_EO,131.86
Cluster 3,MANANTIALES_EO,27.1
Cluster 0,MESAMAVIDA_EO,60.0
Cluster 3,MONTE_REDONDO_EO,48.0
Cluster 0,NEGRETE_EO,36.0
Cluster 2,OCHS_EO,2.9
Cluster 2,PUELCHE_SUR_EO,152.4
Cluster 3,PUNTA_COLORADA_EO,20.0
Cluster 3,PUNTA_DE_TALCA_EO,80.0
Cluster 3,PUNTA_PALMERAS_EO,45.0
Cluster 3,PUNTA_SIERRA_EO,81.185
Cluster 3,RAKI_EO,9.0
Cluster 3,RENAICO_2_EO,144.0
Cluster 0,RENAICO_EO,88.0
Cluster 0,SAN_GABRIEL_EO,180.0
Cluster 3,SAN_JUAN_EO,189.4
Cluster 0,SAN_MATIAS_EO,81.7
Cluster 3,SAN_PEDRO_2_EO,65.0
Cluster 0,SAN_PEDRO_EO,36.0
Cluster 3,SAN_RARINCO_EO,99.0
Cluster 3,SARCO_EO,167.56
Cluster 0,SIERRA_GORDA_EO,110.619
Cluster 0,San Andres,120.0
Cluster 3,TALINAY_ORIENTE_EO,90.0
Cluster 3,TALINAY_PONIENTE_EO,60.6
Cluster 0,TALTAL_EO,99.0
Cluster 3,TCHAMMA_EO,155.4
Cluster 0,TOLPAN_SUR_EO,84.0
Cluster 3,TOTORAL_EO,46.0
Cluster 3,UCUQUER_2_EO,10.185
Cluster 3,UCUQUER_EO,6.965
Cluster 3,VALLE_DE_LOS_VIENTOS_EO,90.0
Cluster 2,Vientos del Lago,125.0
