name,capacity,IFOR,category,type,subsystem,fuel
NORACID,17.5,0.088667251,conventional,thermal,SEN,
CTA Biomasa,165,0.0889,conventional,thermal,SEN,
CTH biomasa,170,0.1387,conventional,thermal,SEN,
TG3_Diesel,47.2,0.4372,conventional,thermal,SEN,
U16_TG_TV_GNL,347,0.0824,conventional,thermal,SEN,
CC1_Diesel,397.3,0.0126,conventional,thermal,SEN,
CC2_Diesel,387.2,0.0395,conventional,thermal,SEN,
CTM3_TG_TV_GNL,248.3,0.0334,conventional,thermal,SEN,
KELAR_2TG_TV_GNL,551.7,0.0107,conventional,thermal,SEN,
Taltal_01_GNL,123.2,0.109,conventional,thermal,SEN,
Taltal_02_GNL,121.3,0.1326,conventional,thermal,SEN,
Nehuenco_03,92,0.2102,conventional,thermal,SEN,
San_Isidro_GNL,354,0.0267,conventional,thermal,SEN,
San_Isidro_Diesel,330.7,0.0267,conventional,thermal,SEN,
Quintero_01_CA_GNL,127.1,0.0566,conventional,thermal,SEN,
Quintero_02_CA_GNL,128.1,0.0363,conventional,thermal,SEN,
Nueva_Renca_GNL,321.1,0.05,conventional,thermal,SEN,
Candelaria_U1_GNL,124.7,0.0845,conventional,thermal,SEN,
Candelaria_U2_GNL,128,0.0518,conventional,thermal,SEN,
Colmito_Diesel,57.7,0.0345,conventional,thermal,SEN,
Santa_Lidia,137.6,0.0202,conventional,thermal,SEN,
Cardones_Diesel,154.2,0,conventional,thermal,SEN,
Los_Vientos_diesel,131.9,0.0128,conventional,thermal,SEN,
Los_Guindos,138.3,0.082322139,conventional,thermal,SEN,
Los_Pinos,102.8,0.020770483,conventional,thermal,SEN,
CenAlto_Jahuel_Biomass_1,14.4,0.088667251,conventional,thermal,SEN,
CenCharrua_Biomass_1,58.4,0.088667251,conventional,thermal,SEN,
CenCharrua_Biomass_2,120.5,0.088667251,conventional,thermal,SEN,
CenCharrua_Biomass_3,23.6,0.088667251,conventional,thermal,SEN,
CenItahue_Biomass_1,10.2,0.088667251,conventional,thermal,SEN,
CenItahue_Biomass_2,45.6,0.088667251,conventional,thermal,SEN,
CenItahue_Biomass_3,12,0.088667251,conventional,thermal,SEN,
CenMelipilla_Biomass_1,8.2,0.088667251,conventional,thermal,SEN,
CenPolpaico_Biomass_1,20.2,0.088667251,conventional,thermal,SEN,
CenValdivia-Ciruelos_Biomass_1,14.8,0.088667251,conventional,thermal,SEN,
CenValdivia-Ciruelos_Biomass_2,4.6,0.088667251,conventional,thermal,SEN,
TGTAR,28.7,0.220335931,conventional,thermal,SEN,
TG1,28.4,0.84468833,conventional,thermal,SEN,
TG2,28.4,0.849286465,conventional,thermal,SEN,
CERRO PABELLON U1 U2,48.2,0,conventional,thermal,SEN,
ENAP_Aconcagua,42,0.088667251,conventional,thermal,SEN,
CERRO PABELLON U3,33,0,conventional,thermal,SEN,
ARICA_M1,1.88572322,0.2541,conventional,thermal,SEN,
ARICA_M,1.54979981,0.088667251,conventional,thermal,SEN,
ARICA_GM,6.3008817,0.5629,conventional,thermal,SEN,
IEM CA GNL,375,0.0373,conventional,thermal,SEN,
Los_Guindos_2,138.3,0.029,conventional,thermal,SEN,
MAPA,166,0.088667251,conventional,thermal,SEN,
Quitralman,2,0.088667251,conventional,thermal,SEN,
PMGD TER MAPOCHO TREBAL AMPL,4.5,0.088667251,conventional,thermal,SEN,
PMGD TER MOLINA,1,0.088667251,conventional,thermal,SEN,
PMGD TER Lomas Coloradas,3.4,0.088667251,conventional,thermal,SEN,
Nehuenco_01_Garg,380.8,0.0262,conventional,thermal,SEN,
Nehuenco_02_Garg,393.27,0.0425,conventional,thermal,SEN,
AGUAS_BLANCAS,1.781325,0.0652,conventional,thermal,SEN,
ANDES_U1_DIE,6.040251142,#REF!,conventional,thermal,SEN,
ANDES_U2_DIE,6.040251142,#REF!,conventional,thermal,SEN,
ANDES_U3_DIE,6.040251142,#REF!,conventional,thermal,SEN,
ANDES_U4_DIE,12.08050228,#REF!,conventional,thermal,SEN,
ANTILHUE_U1,48.81978542,#REF!,conventional,thermal,SEN,
ANTILHUE_U2,48.81014677,#REF!,conventional,thermal,SEN,
CALLECALLE,9.732600294,#REF!,conventional,thermal,SEN,
CELCO_BL2,2.898978453,#REF!,conventional,thermal,SEN,
CEMENTOS_BIOBIO_DIE,12.0497396,#REF!,conventional,thermal,SEN,
CENIZAS,4.995281075,0,conventional,thermal,SEN,
CHAGUAL,94.10284539,0.0001,conventional,thermal,SEN,
CHILOE,9.034403834,0.038357344,conventional,thermal,SEN,
CHOLGUAN_BL2,3.922958904,#REF!,conventional,thermal,SEN,
CHUYACA,10.49697361,0.532202125,conventional,thermal,SEN,
COLIHUES_U1_DIE,9.208975941,#REF!,conventional,thermal,SEN,
COLIHUES_U2_DIE,9.208975941,0.1498,conventional,thermal,SEN,
COMBARBALA,71.43688839,0.01,conventional,thermal,SEN,
CONCON,2.217873592,0,conventional,thermal,SEN,
CONSTITUCION-EGEN,8.578476598,#REF!,conventional,thermal,SEN,
CORONEL_DIE,39.49323139,#REF!,conventional,thermal,SEN,
DEGAN,32.58727132,0,conventional,thermal,SEN,
DEGAN_2_NAVE4,8.472690543,#REF!,conventional,thermal,SEN,
DEGAN_2_NAVE5,4.768604037,#REF!,conventional,thermal,SEN,
DIEGO_DE_ALMAGRO,23.48110718,0.113797794,conventional,thermal,SEN,
EL_PENON,80.68903935,0,conventional,thermal,SEN,
EL_SALVADOR,17.68373892,0.164077952,conventional,thermal,SEN,
EL_TOTORAL,2.938299391,0.069779398,conventional,thermal,SEN,
EMELDA_U1,35.79849919,#REF!,conventional,thermal,SEN,
EMELDA_U2,33.88171659,#REF!,conventional,thermal,SEN,
ERSA_BIOBIO,19.59124623,0.092378663,conventional,thermal,SEN,
ESPERANZA_DS1,1.593733333,0.0163,conventional,thermal,SEN,
ESPERANZA_DS2,1.788558842,0.00017,conventional,thermal,SEN,
ESPERANZA_TG1,18.61165644,#REF!,conventional,thermal,SEN,
ESPINOS_BL1,99.64945517,#REF!,conventional,thermal,SEN,
ESPINOS_BL2,23.91586924,#REF!,conventional,thermal,SEN,
HORCONES_DIE,24.12750033,#REF!,conventional,thermal,SEN,
HUASCO-TG_U1_DIE,18.93825227,#REF!,conventional,thermal,SEN,
HUASCO-TG_U2_DIE,18.93825227,#REF!,conventional,thermal,SEN,
HUASCO-TG_U3_DIE,18.93825227,#REF!,conventional,thermal,SEN,
INACAL,6.016725,#REF!,conventional,thermal,SEN,
KELAR-TG1+TG2+TV_DIE,406.40769,#REF!,conventional,thermal,SEN,
LA_PORTADA,2.89185,#REF!,conventional,thermal,SEN,
LAS_VEGAS,2.034516974,0,conventional,thermal,SEN,
LINARES,0.456031649,#REF!,conventional,thermal,SEN,
LLANOS_BLANCOS,149.5618926,#REF!,conventional,thermal,SEN,
MAITENCILLO,60.55801254,#REF!,conventional,thermal,SEN,
MANTOS_BLANCOS,23.1834825,0.419788,conventional,thermal,SEN,
MAULE,5.967291667,0.137044968,conventional,thermal,SEN,
NEWEN_DIE,11.75622363,#REF!,conventional,thermal,SEN,
NEWEN_PRO,11.84449562,#REF!,conventional,thermal,SEN,
NUEVA_ALDEA_2,10,#REF!,conventional,thermal,SEN,
OLIVOS_BL1,87.84036821,#REF!,conventional,thermal,SEN,
OLIVOS_BL2,24.5953031,#REF!,conventional,thermal,SEN,
PAJONALES,95.24918451,#REF!,conventional,thermal,SEN,
PLACILLA,2.940659665,0.018546827,conventional,thermal,SEN,
PUNTA_COLORADA_DIE,16.35322727,#REF!,conventional,thermal,SEN,
QUINTAY,2.909179033,0.3455215,conventional,thermal,SEN,
RENCA_U1,47.49486428,#REF!,conventional,thermal,SEN,
RENCA_U2,47.13501725,#REF!,conventional,thermal,SEN,
SAN_GREGORIO,0.482821347,0.181279507,conventional,thermal,SEN,
SAN_JAVIER_1,23.81229613,#REF!,conventional,thermal,SEN,
SAN_JAVIER_2,23.81229613,#REF!,conventional,thermal,SEN,
SAN_LORENZO_U1,29.00803971,#REF!,conventional,thermal,SEN,
SAN_LORENZO_U2,25.84043772,#REF!,conventional,thermal,SEN,
SAN_LORENZO_U3,7.344439954,#REF!,conventional,thermal,SEN,
SANTA_FE_BL4,10.12236008,#REF!,conventional,thermal,SEN,
TENO,57.85674985,0,conventional,thermal,SEN,
TENO_GAS_GLP,40.033,#REF!,conventional,thermal,SEN,
TERMOPACIFICO,85.96108406,#REF!,conventional,thermal,SEN,
TRAPEN,78.76584855,0.000664544,conventional,thermal,SEN,
TRINCAO,12.78372021,0.136440087,conventional,thermal,SEN,
UJINA_U1_DIE,6.09375,#REF!,conventional,thermal,SEN,
UJINA_U2_DIE,6.201,#REF!,conventional,thermal,SEN,
UJINA_U3_DIE,5.99625,#REF!,conventional,thermal,SEN,
UJINA_U4_DIE,5.97675,#REF!,conventional,thermal,SEN,
VALDIVIA_BL4_EUCA,36.92107091,#REF!,conventional,thermal,SEN,
VALDIVIA_BL4_PINO,17.53750868,#REF!,conventional,thermal,SEN,
YUNGAY_U1_DIE,52.14694575,#REF!,conventional,thermal,SEN,
YUNGAY_U2_DIE,54.41205278,#REF!,conventional,thermal,SEN,
YUNGAY_U3_DIE,54.09675645,#REF!,conventional,thermal,SEN,
YUNGAY_U4_DIE,36.56590685,#REF!,conventional,thermal,SEN,
HE_RALCO,641.7,0.0048,hydro,reservoir,SEN,
HE_PEHUENCHE,511.5,0.0109,hydro,reservoir,SEN,
HE_PANGUE,418.5,0.0168,hydro,reservoir,SEN,
HE_COLBUN,425.01,0.0084,hydro,reservoir,SEN,
HE_ELTORO,418.5,0.005,hydro,reservoir,SEN,
HE_RAPEL,348.75,0.0209,hydro,reservoir,SEN,
HS_ANGOSTURA,323.8,0.0039,hydro,serie,SEN,
HS_ANTUCO,320,0.0055,hydro,serie,SEN,
HP_LAS_LAJAS,267,0.003149717,hydro,ror,SEN,
HP_ALFALFAL_2,264,0.003149717,hydro,ror,SEN,
HS_RUCUE,178.4,0.0072,hydro,serie,SEN,
HP_ALFALFAL,178,0.003821235,hydro,serie,SEN,
HE_CANUTILLAR,158.286,0.0044,hydro,reservoir,SEN,
HS_LA_CONFLUENCIA,163.2,0.0143,hydro,reservoir,SEN,
HS_LA_HIGUERA,155,0.0383,hydro,reservoir,SEN,
HS_LOS_CONDORES,150,0.01328889,hydro,serie,SEN,
B_MAULE,140,0,hydro,nodos_hidro,SEN,
HS_CHACAYES,111.72,0.0149,hydro,reservoir,SEN,
HE_CIPRESES,105,0.0141,hydro,reservoir,SEN,
LMAULE,100,0,hydro,reservoir,SEN,
HS_MACHICURA,90,0.0006,hydro,serie,SEN,
HS_ABANICO,136,0.0055,hydro,serie,SEN,
HS_CURILLINQUE,87,0.0065,hydro,serie,SEN,
HP_PEUCHEN,85.6,0.0009,hydro,reservoir,SEN,
HP_SAUZAL,76.8,0.0095,hydro,reservoir,SEN,
HS_QUILLECO,70,0.0004,hydro,serie,SEN,
HS_ISLA,69,0.0134,hydro,serie,SEN,
HS_HORNITOS,55,0.0201,hydro,reservoir,SEN,
HP_EL_PASO,60,0.0149,hydro,reservoir,SEN,
HS_RUCATAYO,55,0.0026,hydro,serie,SEN,
HP_MAMPIL,55,0.0006,hydro,reservoir,SEN,
HS_BLANCO,57,0.0165,hydro,reservoir,SEN,
HP_PULLINQUE,51.4,0.0033,hydro,reservoir,SEN,
B_C_ISLA,50,0,hydro,nodos_hidro,SEN,
HP_QUELTEHUES,48,0.007030444,hydro,reservoir,SEN,
B_M_ISLA,48,0,hydro,nodos_hidro,SEN,
HE_PILMAIQUEN,39,0.0215,hydro,reservoir,SEN,
HP_SAN_ANDRES,40,0.0189,hydro,reservoir,SEN,
HS_LOMA_ALTA,39,0.0035,hydro,serie,SEN,
HS_LOS_QUILOS,39.9,0.0106,hydro,serie,SEN,
HS_LA_MINA,37.16,0.0137,hydro,serie,SEN,
HS_SAN_IGNACIO,36,0.0035,hydro,serie,SEN,
HS_LAJA_1,34.30368,0.0027,hydro,reservoir,SEN,
HS_PALMUCHO,32,0.0107,hydro,serie,SEN,
HS_JUNCAL,32,0.0209,hydro,reservoir,SEN,
HP_MAITENES,31,0.021971228,hydro,reservoir,SEN,
HS_CHACABUQUITO,25.7,0.008,hydro,serie,SEN,
HS_LOS_HIERROS,25.06,0.0265,hydro,serie,SEN,
HS_ANCOA,24.656,0.0087,hydro,ror,SEN,
HP_PUNTILLA,22.2,0.0284,hydro,ror,SEN,
TUCAPEL,20,0,hydro,nodos_hidro,SEN,
HP_ITATA,20,0.0339,hydro,ror,SEN,
HP_FLORIDA_2,20,0.0333,hydro,ror,SEN,
HS_CHIBURGO,19.4,0.0038,hydro,serie,SEN,
HP_PICOIQUEN,19.2,0.002,hydro,ror,SEN,
C_MELADO,19,0,hydro,nodos_hidro,SEN,
HP_LIRCAY,19,0.0073,hydro,ror,SEN,
HP_CARILAFQUEN,19.8,0.0728,hydro,ror,SEN,
HP_LICAN,17,0.0008,hydro,reservoir,SEN,
HP_LOS_MOLLES,18,0.0054,hydro,reservoir,SEN,
HP_CUMBRES,14.9,0.0183,hydro,ror,SEN,
HP_CONVENTO_VIEJO,16,0.0206,hydro,ror,SEN,
HP_RIO_COLORADO,16.5,0.0166,hydro,ror,SEN,
HP_PROVIDENCIA,14,0.0148,hydro,ror,SEN,
HP_VOLCAN,14,0.004286176,hydro,ror,SEN,
HP_COYA,12,0.0862,hydro,reservoir,SEN,
