name,vmax,vmin,rend,filtrated,turbined,spilled
HE_RALCO,1173286200,409409600,1.638,27.1,HE_PANGUE,HS_PALMUCHO
HS_PALMUCHO,0,0,1.143,0,HE_PANGUE,HE_PANGUE
HE_PANGUE,71960000,30806600,0.9,0,HS_ANGOSTURA,HS_ANGOSTURA
HS_ANGOSTURA,0,0,0.43,0,0,0
HE_ELTORO,5585887600,0,4.8,19.31,HS_ANTUCO,HS_ABANICO
HS_ABANICO,0,0,1.2,0,HS_ANTUCO,HS_ANTUCO
HS_ANTUCO,0,0,1.6,0,HS_RUCUE,HS_RUCUE
HS_RUCUE,0,0,1.28,0,HS_QUILLECO,HS_QUILLECO
HS_QUILLECO,0,0,0.55,0,TUCAPEL,TUCAPEL
TUCAPEL,0,0,1,0,HS_EL_DIUTO,HS_LAJA_1
HS_LAJA_1,2041459.854,0,0.137,0,0,0
HS_EL_DIUTO,0,0,0.163,0,0,0
HE_CIPRESES,174660300,4716400,2.904,11.25,B_C_ISLA,HS_OJOS_DE_AGUA
HS_OJOS_DE_AGUA,0,0,0.58,0,B_C_ISLA,B_C_ISLA
B_C_ISLA,0,0,1,0,HS_ISLA,B_MAULE
HS_ISLA,0,0,0.81,0,HS_CURILLINQUE,B_MAULE
HS_CURILLINQUE,0,0,1.01,0,HS_LOMA_ALTA,B_MAULE
HS_LOMA_ALTA,0,0,0.45,0,B_MAULE,B_MAULE
LMAULE,1453409300,0,1,0,HS_LOS_CONDORES,HS_LOS_CONDORES
HS_LA_MINA,0,0,0.57,0,B_M_ISLA,B_M_ISLA
B_M_ISLA,0,0,1,0,HS_ISLA,B_MAULE
B_MAULE,0,0,1,0,HE_PEHUENCHE,HE_COLBUN
C_MELADO,0,0,1,0,HS_ROBLERIA,HS_LOS_HIERROS
HS_LOS_HIERROS,0,0,0.96,0,HS_LOS_HIERROS_2,HE_PEHUENCHE
HS_LOS_HIERROS_2,0,0,0.237,0,HE_PEHUENCHE,HE_PEHUENCHE
HS_ROBLERIA,0,0,1.111,0,0,0
HE_PEHUENCHE,133644100,106583100,1.78,0,HE_COLBUN,HE_COLBUN
HE_COLBUN,1553245900,381624300,1.53,10,HS_MACHICURA,HS_CHIBURGO
HS_MACHICURA,0,0,0.33,0,HS_SAN_IGNACIO,HS_SAN_IGNACIO
HS_SAN_IGNACIO,0,0,0.19,0,0,0
HS_CHIBURGO,0,0,0.97,0,0,HS_SAN_CLEMENTE
HS_SAN_CLEMENTE,0,0,0.324,0,0,0
HE_PILMAIQUEN,289680300,0,0.27,0,HS_RUCATAYO,HS_RUCATAYO
HS_RUCATAYO,0,0,0.315,0,0,0
HS_BLANCO,155000,0,5.76,0,HS_LOS_QUILOS,HS_LOS_QUILOS
HS_HORNITOS,172500,0,5,0,HS_JUNCAL,HS_JUNCAL
HS_JUNCAL,230000,0,2.2,0,HS_LOS_QUILOS,HS_LOS_QUILOS
HS_LOS_QUILOS,0,0,1.9,0,HS_CHACABUQUITO,0
HS_CHACABUQUITO,0,0,1.22,0,0,0
HS_LA_CONFLUENCIA,385852.09,0,3.11,0,0,0
HS_LA_HIGUERA,150000,0,3.12,0,0,0
HE_RAPEL,563212400,272304900,0.64,0,0,0
HS_CHACAYES,835467.9803,0,1.54,0,0,0
HE_CANUTILLAR,1065378500,89947800,2,0,0,0
HP_ALLIPEN,0,0,1,0,0,0
HP_MHAH,0,0,1,0,0,0
HP_ALTO_RENAICO,0,0,1,0,0,0
HS_ANCOA,0,0,0.948307692,0,0,0
HP_AUX_DEL_MAIPO,0,0,1,0,0,0
HP_BIFURCADA,0,0,1,0,0,0
HP_BOQUIAMARGO,0,0,1,0,0,0
HP_BUREO,0,0,1,0,0,0
HP_CALIBORO,0,0,1,0,0,0
HP_CALLAO,0,0,1,0,0,0
HP_CAPULLO,0,0,1,0,0,0
HP_CARENA,0,0,1,0,0,0
HP_CARILAFQUEN,0,0,1,0,0,0
HP_CAVANCHA,0,0,1,0,0,0
HP_CHANLEUFU,0,0,1,0,0,0
HP_CHAPIQUINA,0,0,1,0,0,0
HP_COLLIL,0,0,1,0,0,0
HP_CONTRA,0,0,1,0,0,0
