week,hidrology,HE_RALCO,HS_PALMUCHO,HE_PANGUE,HS_ANGOSTURA,HE_ELTORO,HS_ABANICO,HS_ANTUCO,HS_RUCUE,HS_QUILLECO,TUCAPEL,HS_LAJA_1,HS_EL_DIUTO,HE_CIPRESES,HS_OJOS_DE_AGUA,B_C_ISLA,HS_ISLA,HS_CURILLINQUE,HS_LOMA_ALTA,LMAULE,HS_LA_MINA,B_M_ISLA,B_MAULE,C_MELADO,HS_LOS_HIERROS,HS_LOS_HIERROS_2,HS_ROBLERIA,HE_PEHUENCHE,HE_COLBUN,HS_MACHICURA,HS_SAN_IGNACIO,HS_CHIBURGO,HS_SAN_CLEMENTE,HE_PILMAIQUEN,HS_RUCATAYO,HS_BLANCO,HS_HORNITOS,HS_JUNCAL,HS_LOS_QUILOS,HS_CHACABUQUITO,HS_LA_CONFLUENCIA,HS_LA_HIGUERA,HE_RAPEL,HS_CHACAYES,HE_CANUTILLAR,HP_ALFALFAL,HP_ALLIPEN,HP_MHAH,HP_ALTO_RENAICO,HS_ANCOA,HP_AUX_DEL_MAIPO,HP_BIFURCADA,HP_BOQUIAMARGO,HP_BUREO,HP_CALIBORO,HP_CALLAO,HP_CAPULLO,HP_CARENA,HP_CARILAFQUEN,HP_CAVANCHA,HP_CHANLEUFU,HP_CHAPIQUINA,HP_COLLIL,HP_CONTRA,HP_CONVENTO_VIEJO,HP_COYA,HP_CUMBRES,HP_CUMPEO,HP_CURILEUFU,HP_DONA_HILDA,HP_DONGO,HP_DONGUIL,HP_DON_WALTERIO,HP_DOSAL,HP_DOS_VALLES,HP_EL_AGRIO,HP_EL_ARRAYAN,HP_EL_CANELO,HP_EL_COLORADO,HP_EL_GALPON,HP_EL_LLANO,HP_EL_MANZANO,HP_EL_MIRADOR,HP_EL_PASO,HP_EL_RINCON,HP_EL_TARTARO,HP_MHT2,HP_ENSENADA,HP_EYZAGUIRRE,HP_FLORIDA_1,HP_FLORIDA_2,HP_FLORIDA_3,HP_GUAYACAN,HP_BONITO_MC1,HP_BONITO_MC2,HP_ITATA,HP_LAS_FLORES,HP_LAS_VERTIENTES,HP_LA_ARENA,HP_LA_MONTANA_1,HP_LA_MONTANA_2,HP_LA_PALOMA,HP_LA_VINA,HP_LICAN,HP_LIRCAY,HP_LLEUQUEREO,HP_LOS_BAJOS,HP_LOS_CORRALES_1,HP_LOS_CORRALES_2,HP_LOS_MOLLES,HP_LOS_MORROS,HP_LOS_PADRES,HP_MAISAN,HP_MAITENES,HP_MALALCAHUELLO,HP_MALLARAUCO,HP_MAMPIL,HP_MARIA_ELENA,HP_MARIPOSAS,HP_MELO,HP_MOLINERA_VILLARRICA,HP_MSA_1,HP_MUCHI,HP_MULCHEN,HP_MUNILQUE_1,HP_MUNILQUE_2,HP_NALCAS,HP_PEHUI,HP_PEUCHEN,HP_PICHILONCO,HP_PICOIQUEN,HP_PIUTEL,HP_PROVIDENCIA,HP_PUCLARO,HP_PULELFU,HP_PULLINQUE,HP_PUNTILLA,HP_PURISIMA,HP_QUELTEHUES,HP_RECA,HP_RENAICO,HP_RININAHUE,HP_RIO_COLORADO,HP_RIO_HUASCO,HP_RIO_TRUENO,HP_SANTA_ELENA,HP_SANTA_ISABEL,HP_MHSR,HP_SAN_ANDRES,HP_SAUCEANDES,HP_SAUZAL,HP_SAUZALITO,HP_TRAILELFU,HP_TRANQUIL,HP_TRUFULTRUFUL,HP_VOLCAN,HP_ALFALFAL_2,HP_LAS_LAJAS,HS_LOS_CONDORES,HP_CIPRESILLOS,HP_EL_PINAR,HP_CORRENTOSO,HP_HIDROPALMAR,HP_LAS_NIEVES,HP_AILLIN,HP_CH_LOS_LAGOS,HP_COSAPILLA,HP_LA_COMPANIA_2,HP_CH_EL_ATAJO,HP_CH_CORRALES,HP_PALACIOS,BESS_ALFALFAL,HP_CH_ALTO_BONITO,HP_CHILCO,HP_DIGUA,HP_EL_BRINCO,HP_HIDROMOCHO,HP_LA_CONFIANZA,HP_PANGUIPULLI,HP_QUILLAILEO,HP_TRUPAN,HP_MORAGA,HP_PIEDRAS_NEGRAS,HP_SAN_JOSE,HP_SAN_LUIS,HP_RININAHUE_2
1,1961,193.96,0,25.53,74.7,48.43,7.15,39.43,2.75,0,3.76,0.94,0,29.88,0,0,0,0,0,17.79,6.44,0.81,24.39,46.2,0,0,0,0,8.9,0,0,0,0,158.45,0,13.7,14.77,0,5.7,0,48.4,105.36,8.45,94.59,42.45,29.96,3.92,1.1,1.6,41.65,6.41,0.215,0.595,0.7,30.26,1.6,13.77,8.09,17.38,1.8,2.735,8.36,0.89,0.295,9.17,10.845,3.62,3.56,0.195,0.53,2.49,0.225,5.34,0.215,4.09,0.89,0.04,3.74,0.18,0.18,1.07,4.81,0.18,39.15,0.53,0.02,0.9,0.18,1.07,1.355,18.01,4.24,16.37,6.23,3.74,1.65,2.31,2.85,4.27,0.535,0.62,2.67,0.71,15.89,31.78,0.18,8.01,0.335,0.53,4.24,2.12,16.02,0.36,22.25,3.945,5.34,21.17,0.18,4.27,3.38,0.36,0.36,0.345,0.18,0.175,0.175,5.7,1.06,37.57,1.42,5.725,0.16,5.03,3.74,10.68,26.1,27.54,0.18,65.68,0.53,6.05,1.6,7.65,4.09,1.25,0.5,0.89,0.5,107.48,1.06,100.5,15.7,0.53,1.78,0.77,14.83,21.49,56.13,0,6.555,10.3,4.27,4.27,4.33,4.62,32.142,0.33,1.6863,0.726,0.66,0.66,0,1.5,0.12,16.66,0.165,3.15,1.04,0.34,0.34,8,0.6,0.6,0.6,0.6,0.6
2,1961,248.49,0,25.8,149.07,70.02,6.77,34.05,4.48,0,17.81,11.87,0,24.7,0,0,0,0,0,13.75,8.09,0.94,21.02,38.73,0,0,0,0,11.12,0,0,0,0,192.48,0,11.33,14.04,0,6.93,0,70.13,76.02,12.63,110.79,222.48,29.96,4.73,1.1,2.35,46.99,5.84,0.43,1.19,1.4,2.17,1.6,15.55,16.18,34.76,1.8,5.47,1.44,6.15,0.59,18.34,21.69,7.24,5.67,0.39,0.28,2.24,0.45,1.51,0.43,9.58,3.37,0.08,5.27,1.4,2.26,3.01,8.86,3.21,96.65,0.51,0.04,0.9,7.11,1.84,2.71,33.93,4.38,41.54,10.01,0.82,3.3,1.1,3,12.29,1.07,1.24,2.67,1,32.53,34.34,1.85,8.96,0.67,0.49,7.29,5.7,0.55,0.71,26.96,7.89,4.66,30.38,0.4,9.92,4.55,0.39,2.65,0.69,1.91,0.35,0.35,5.19,0.99,50.33,2.06,11.45,0.32,9.39,4.45,6.07,29.6,28.19,0.12,83.09,0.76,11.39,1.56,18.99,2.68,2.53,1,1.52,0.5,72.83,1.7,111.41,17.33,0.62,3.13,1.54,22.09,42.98,112.26,0,13.11,20.6,1.53,2.48,8.66,4.62,32.142,0.33,1.6863,0.726,0.66,0.66,0,1.5,0.12,16.66,0.33,3.15,1.04,0.34,0.34,8,0.6,0.6,0.6,0.6,0.6
3,1961,133.23,0,9.22,50.34,36.79,3.94,12.57,5.27,0,8.81,1.41,0,16.19,0,0,0,0,0,13.66,14.43,1.4,0.62,57.66,0,0,0,0,5.33,0,0,0,0,123.11,0,8.31,12.72,0,4.03,0,40.17,43.88,3.75,116.99,117.68,29.96,3.04,1.1,1.51,30.2,3.8,0.28,0.77,0.9,1.39,1.03,9.99,10.99,22.34,1.8,3.43,0.93,3.95,0.38,11.79,13.94,4.66,3.65,0.25,0.18,1.44,0.29,0.97,0.27,6.16,2.16,0.05,2.57,0.9,1.45,1.83,3.97,2.06,52.28,0.33,0.03,0.9,4.57,1.18,0.77,21.79,2.82,27.15,6.43,0.53,1.06,0.71,1.93,7.9,0.69,0.79,0,0.64,20.91,22.07,0.54,6.36,0.43,0.31,3.12,3.7,0.36,0.1,15.98,5.07,2.99,17.05,0.26,3.64,2.93,0.23,1.7,0.44,1.23,0.23,0.23,3.33,0.59,30.83,1.32,4.42,0.15,2.38,0,3.9,19.98,18.64,0.42,53.03,0.44,7.32,1,10.13,1.94,1.38,0.64,0.98,0.5,46.81,1.07,81.01,12.6,0.4,2.01,0.99,14.1,13.65,58.88,0,8.42,13.24,0.98,1.6,5.56,4.62,32.142,0.33,1.6863,0.726,0.66,0.66,0,1.5,0.12,16.66,0.21,3.15,1.04,0.34,0.34,8,0.6,0.6,0.6,0.6,0.6
4,1961,112.97,0,10.92,47.94,29.14,4.45,13.4,4.12,0,22.75,3.51,0,18.52,0,0,0,0,0,11.61,16.26,1.57,0.47,62.3,0,0,0,0,6.24,0,0,0,0,142.99,0,8.63,10.79,0,4.43,0,46.65,50.96,16.25,135.87,34.83,29.96,3.53,1.1,1.75,35.07,4.43,0.32,0.89,1.05,1.62,1.2,11.6,12.77,25.95,1.8,3.83,1.08,4.59,0.44,13.69,16.19,5.41,4.23,0.29,0.21,1.67,0.34,1.13,0.32,7.15,2.51,0.06,2.99,1.05,1.69,2.17,4.61,2.4,60.72,0.38,0.03,0.9,5.31,1.37,1.01,25.33,3.27,31.53,7.47,0.61,0.17,0.82,2.24,3.18,0.8,0.92,0,0.74,24.28,25.63,0.62,7.39,0.5,0.36,3.62,4.3,0.41,0.12,18.56,5.89,3.48,19.8,0.3,4.23,3.4,0.24,1.98,0.51,1.43,0.26,0.26,3.87,0.61,35.81,1.54,5.13,0.1,2.77,0,4.53,23.21,21.43,0.48,61.59,0.22,8.5,1.17,10.03,2.25,1.6,0.74,1.13,0.5,54.36,1.24,94.08,14.64,0.46,2.34,1.06,16.37,15.85,68.38,0,9.78,15.38,1.14,1.85,6.46,4.62,32.142,0.33,1.6863,0.726,0.66,0.66,0,1.5,0.12,16.66,0.24,3.15,1.04,0.34,0.34,8,0.6,0.6,0.6,0.6,0.6
5,1961,70.44,0,9.14,29.37,23.2,4.1,9.81,2.56,0,27.03,8.9,0,13.2,0,0,0,0,0,5.38,11.1,1.1,0.44,16.75,0,0,0,0,4.16,0,0,0,0,80,0,6,9.74,0,3.02,0,25.47,26.99,15.49,78.05,39.42,26.7,2.62,1.1,1.3,25.42,3.28,0.24,0.49,0.54,1.2,0.41,4.91,9.81,15.57,1.8,2.21,1.08,1.35,0.32,5.07,12,2.33,1.99,0.22,0.19,0.62,0.25,0.81,0.17,3.7,1.32,0.04,2.14,1.02,1.24,1.3,2.86,1.1,29.4,0.28,0.02,0.9,1.96,1.01,0,17.11,2.42,17.28,3.31,0.12,0,0.38,1.66,3.42,0.48,0.41,0,0.55,2.9,18.31,0.39,5.48,0.21,0.08,2.84,2.3,0.2,0.05,13.5,2.81,3.09,12.72,0.11,2.52,2.52,0.22,1.12,0.24,0.73,0.13,0.13,1,0.53,22.72,1.14,2.74,0.05,3.22,0,1.82,16.52,17.34,0.3,47.61,0.49,6.3,0.86,7.13,2.01,0.33,0.44,0.84,0.5,30.62,0.78,71.14,11.07,1.04,1.09,0.85,12.66,24.57,58.14,0,7.45,1.84,0.59,0.95,4.33,4.62,32.142,0.33,1.6863,0.726,0.66,0.66,0,1.5,0.12,3.7,0.18,2.54,1.04,0.34,0.28,8,0.6,0.6,0.6,0.6,0.6
6,1961,78.02,0,8.98,32.95,29.01,3.51,11.14,3.92,0,31.69,7.52,0,14.66,0,0,0,0,0,9.94,12.13,1.21,0.47,17.84,0,0,0,0,3.92,0,0,0,0,91.43,0,7.63,10.41,0,4.2,0,29.11,30.85,8.23,89.2,34.05,28.34,2.99,1.1,1.49,29.05,3.74,0.27,0.55,0.61,1.37,0.47,5.61,11.21,17.79,1.8,2.07,1.24,1.55,0.37,5.8,13.71,2.66,2.27,0.25,0.22,0.71,0.29,0.92,0.2,4.23,1.51,0.05,2.44,1.17,1.42,1.46,3.27,1.26,33.6,0.32,0.03,0.9,2.24,1.15,0,19.09,2.77,19.74,3.78,0.14,2.84,0.43,1.9,2.97,0.55,0.47,0,0.63,3.31,20.93,0.45,6.26,0.24,0.1,3.25,2.63,0.23,0.06,15.43,3.21,3.53,14.54,0.13,2.88,2.88,0.3,1.28,0.27,0.83,0.15,0.15,1.14,0.54,25.96,1.3,3.14,0.09,3.68,0,2.08,18.88,19.86,0.34,54.41,0.62,7.2,0.99,7.91,2.29,0.38,0.5,0.96,0.5,34.99,0.9,81.31,12.65,1.19,1.25,0.97,14.47,28.07,66.45,0,8.52,2.1,0.67,1.09,4.94,4.62,32.142,0.33,1.6863,0.726,0.66,0.66,0,1.5,0.12,3.7,0.21,2.54,1.04,0.34,0.28,8,0.6,0.6,0.6,0.6,0.6
7,1961,64.55,0,8.02,27.34,23.13,2.74,8.61,2.74,0,26.47,4.3,0,12.55,0,0,0,0,0,6.92,10.25,1.02,0.41,15.22,0,0,0,0,3.34,0,0,0,0,80,0,5.41,9.27,0,3.72,0,25.47,26.99,3.86,78.05,14.95,28.1,2.62,1.1,1.3,25.42,3.28,0.24,0.49,0.54,1.2,0.41,4.91,9.81,15.57,1.8,1.66,1.08,1.35,0.32,5.07,12,2.33,1.99,0.22,0.19,0.62,0.25,0.81,0.17,3.7,1.32,0.04,2.14,1.02,1.24,1.25,2.86,1.1,29.4,0.28,0.02,0.9,1.96,1.01,0,16.31,2.42,17.28,3.31,0.12,0.77,0.38,1.66,1.33,0.48,0.41,0,0.55,2.9,18.31,0.39,5.48,0.21,0.08,2.84,2.3,0.2,0.05,13.5,2.81,3.09,12.72,0.11,2.52,2.52,0.2,1.12,0.24,0.73,0.13,0.13,1,0.47,22.72,1.14,2.74,0.12,3.22,0,1.82,16.52,17.44,0.3,47.61,0.46,6.3,0.86,6.15,2.01,0.33,0.44,0.84,0.5,30.62,0.78,71.14,11.07,1.04,1.09,0.85,12.66,24.57,58.14,0,7.45,1.84,0.59,0.95,4.33,4.62,32.142,0.33,1.6863,0.726,0.66,0.66,0,1.5,0.12,3.7,0.18,2.54,1.04,0.34,0.28,8,0.6,0.6,0.6,0.6,0.6
8,1961,54.55,0,6.81,23.86,13.28,2.17,7.59,2.2,0,18.43,3.91,0,10.7,0,0,0,0,0,5.39,8.65,0.86,0.45,12.48,0,0,0,0,3.23,0,0,0,0,70,0,3.71,6.12,0,3.01,0,22.28,23.62,4.77,68.29,31.22,21,2.29,1.1,1.14,22.24,2.87,0.21,0.42,0.47,1.05,0.36,4.3,8.58,13.62,1.8,1.54,0.95,1.18,0.28,4.44,10.5,2.04,1.74,0.19,0.17,0.54,0.22,0.71,0.15,3.24,1.15,0.04,1.87,0.89,1.08,1.12,2.5,0.96,25.72,0.25,0.02,0.9,1.71,1.01,0,13.96,2.19,15.12,2.9,0.11,0.53,0.33,1.45,2.71,0.42,0.36,0,0.48,2.54,16.02,0.34,4.8,0.19,0.07,2.49,2.01,0.18,0.05,11.82,2.46,2.7,11.13,0.1,2.2,2.21,0.17,0.98,0.21,0.64,0.12,0.12,0.87,0.4,19.88,1,2.4,0.06,2.82,0,1.59,14.45,15.6,0.26,41.66,0.45,5.51,0.76,5.03,1.76,0.29,0.38,0.74,0.5,26.79,0.69,62.25,9.68,0.91,0.96,0.74,11.08,21.49,50.87,0,6.52,1.61,0.52,0.83,3.79,4.62,32.142,0.33,1.6863,0.726,0.66,0.66,0,1.5,0.12,3.7,0.16,2.54,1.04,0.34,0.28,8,0.6,0.6,0.6,0.6,0.6
9,1961,58.69,0,6.31,25.67,3.87,1.81,6.02,1.67,0,8.56,3.15,0,8.81,0,0,0,0,0,2.58,7.05,0.73,2.15,9.78,0,0,0,0,1.94,0,0,0,0,42.12,0,3.63,4.45,0,2.9,0,9.95,11.03,3.74,45.38,10.96,13.65,1.9,1.1,0.94,15.95,2.34,0.17,0.23,0.35,0.87,0.38,3.22,6.71,8.3,1.8,1.04,1.06,1.8,0.24,3.69,8.71,1.95,1.15,0.16,0.11,0.76,0.18,0.58,0.1,1.89,1.02,0.03,1.57,0.82,0.9,0.71,1.98,0.99,13.87,0.21,0.02,0.9,1.22,0.59,0,9.05,1.76,9.11,2.6,0.13,1.22,0.29,1.21,0.87,1.44,1,0,0.4,4.9,11.16,0.36,3.98,0.18,0.03,1.99,0.97,0.09,0.08,9.37,1.4,2.47,9.16,0.08,1.45,1.83,0.17,0.71,0.18,0.47,0.09,0.09,1,0.31,15.1,0.83,2.28,0.04,2.7,0,1.54,9.27,13.23,0.12,33.23,0.57,4.58,0.63,2.98,1.34,0.5,0.2,0.61,0.5,13.18,0.47,40.56,6.31,0.18,0.46,0.62,8.84,16.04,29.24,0,5.16,3.1,0.46,0.74,3.48,4.62,32.142,0.33,1.6863,0.726,0.66,0.66,0,1.5,0.12,0.11,0.13,3.71,1.04,0.34,0.28,8,0.6,0.6,0.6,0.6,0.6
10,1961,58.14,0,7.2,25.21,20.9,1.86,5.99,2.22,0,7.08,3.85,0,9.1,0,0,0,0,0,3.28,7.2,0.75,1.94,8.73,0,0,0,0,1.88,0,0,0,0,44.41,0,3.86,4.76,0,2.65,0,10.49,11.63,5,47.84,17.22,14.39,2.01,1.1,1,16.82,2.46,0.18,0.24,0.37,0.92,0.4,3.4,7.07,8.75,1.8,0.85,1.12,1.9,0.25,3.89,9.19,2.06,1.21,0.17,0.12,0.8,0.19,0.61,0.1,1.99,1.07,0.03,1.65,0.87,0.95,0.73,2.08,1.04,14.62,0.22,0.02,0.9,1.28,0.62,0,9.15,1.86,9.6,2.74,0.13,5.04,0.31,1.27,1.35,1.52,1.06,0,0.42,5.16,11.77,0.38,4.19,0.18,0.04,2.1,1.02,0.09,0.08,9.88,1.47,2.6,9.66,0.09,1.52,1.93,0.17,0.75,0.19,0.5,0.09,0.09,1.06,0.43,15.92,0.87,2.41,0.07,2.85,0,1.62,9.78,13.94,0.11,35.04,0.59,4.82,0.66,2.86,1.42,0.53,0.21,0.64,0.5,13.89,0.49,42.77,6.65,0.19,0.48,0.65,9.31,16.91,30.82,0,5.44,3.27,0.48,0.78,3.67,4.62,32.142,0.33,1.6863,0.726,0.66,0.66,0,1.5,0.12,0.11,0.14,3.71,1.04,0.34,0.28,8,0.6,0.6,0.6,0.6,0.6
